Date,Price,,,,
"Aug 15, 2001",47.11,,,,
"Aug 16, 2001",47.11,,,,
"Aug 17, 2001",47.12,,,,
"Aug 20, 2001",47.105,,,,
"Aug 21, 2001",47.13,,,,
"Aug 22, 2001",47.13,,,,
"Aug 23, 2001",47.12,,,,
"Aug 24, 2001",47.12,,,,
"Aug 27, 2001",47.14,,,,
"Aug 28, 2001",47.14,,,,
"Aug 29, 2001",47.11,,,,
"Aug 30, 2001",47.13,,,,
"Aug 31, 2001",47.12,,,,
"Dec 03, 2001",47.88,,,,
"Dec 04, 2001",47.96,,,,
"Dec 05, 2001",47.89,,,,
"Dec 06, 2001",47.85,,,,
"Dec 07, 2001",47.81,,,,
"Dec 10, 2001",47.81,,,,
"Dec 11, 2001",47.8,,,,
"Dec 12, 2001",47.79,,,,
"Dec 13, 2001",47.79,,,,
"Dec 14, 2001",47.81,,,,
"Dec 17, 2001",47.81,,,,
"Dec 18, 2001",47.81,,,,
"Dec 19, 2001",47.75,,,,
"Dec 20, 2001",47.78,,,,
"Dec 21, 2001",47.8,,,,
"Dec 24, 2001",47.9,,,,
"Dec 25, 2001",47.93,,,,
"Dec 26, 2001",47.9,,,,
"Dec 27, 2001",48.16,,,,
"Dec 28, 2001",48.24,,,,
"Dec 31, 2001",48.22,,,,
"Feb 01, 2001",46.375,,,,
"Feb 02, 2001",46.395,,,,
"Feb 05, 2001",46.39,,,,
"Feb 06, 2001",46.37,,,,
"Feb 07, 2001",46.4,,,,
"Feb 08, 2001",46.405,,,,
"Feb 09, 2001",46.45,,,,
"Feb 12, 2001",46.505,,,,
"Feb 13, 2001",46.55,,,,
"Feb 14, 2001",46.585,,,,
"Feb 15, 2001",46.575,,,,
"Feb 16, 2001",46.515,,,,
"Feb 19, 2001",46.55,,,,
"Feb 20, 2001",46.605,,,,
"Feb 21, 2001",46.595,,,,
"Feb 22, 2001",46.57,,,,
"Feb 23, 2001",46.595,,,,
"Feb 26, 2001",46.615,,,,
"Feb 27, 2001",46.625,,,,
"Feb 28, 2001",46.54,,,,
"Jan 02, 2001",46.69,,,,
"Jan 03, 2001",46.7,,,,
"Jan 04, 2001",46.73,,,,
"Jan 05, 2001",46.705,,,,
"Jan 08, 2001",46.675,,,,
"Jan 09, 2001",46.625,,,,
"Jan 10, 2001",46.625,,,,
"Jan 11, 2001",46.625,,,,
"Jan 12, 2001",46.535,,,,
"Jan 15, 2001",46.525,,,,
"Jan 16, 2001",46.51,,,,
"Jan 17, 2001",46.435,,,,
"Jan 18, 2001",46.395,,,,
"Jan 19, 2001",46.375,,,,
"Jan 22, 2001",46.37,,,,
"Jan 23, 2001",46.34,,,,
"Jan 24, 2001",46.36,,,,
"Jan 25, 2001",46.485,,,,
"Jan 26, 2001",46.48,,,,
"Jan 29, 2001",46.465,,,,
"Jan 30, 2001",46.41,,,,
"Jan 31, 2001",46.39,,,,
"Jul 02, 2001",47.13,,,,
"Jul 03, 2001",47.12,,,,
"Jul 04, 2001",47.11,,,,
"Jul 05, 2001",47.13,,,,
"Jul 06, 2001",47.12,,,,
"Jul 09, 2001",47.14,,,,
"Jul 10, 2001",47.14,,,,
"Jul 11, 2001",47.15,,,,
"Jul 12, 2001",47.15,,,,
"Jul 13, 2001",47.16,,,,
"Jul 16, 2001",47.15,,,,
"Jul 17, 2001",47.11,,,,
"Jul 18, 2001",47.14,,,,
"Jul 19, 2001",47.11,,,,
"Jul 20, 2001",47.12,,,,
"Jul 23, 2001",47.12,,,,
"Jul 24, 2001",47.12,,,,
"Jul 25, 2001",47.14,,,,
"Jul 26, 2001",47.085,,,,
"Jul 27, 2001",47.14,,,,
"Jul 30, 2001",47.14,,,,
"Jul 31, 2001",47.13,,,,
"Jun 01, 2001",47,,,,
"Jun 04, 2001",47.01,,,,
"Jun 05, 2001",47.01,,,,
"Jun 06, 2001",46.98,,,,
"Jun 07, 2001",46.97,,,,
"Jun 08, 2001",46.95,,,,
"Jun 11, 2001",46.98,,,,
"Jun 12, 2001",47.03,,,,
"Jun 13, 2001",47.04,,,,
"Jun 14, 2001",46.98,,,,
"Jun 15, 2001",47,,,,
"Jun 18, 2001",46.97,,,,
"Jun 19, 2001",46.97,,,,
"Jun 20, 2001",46.96,,,,
"Jun 21, 2001",46.99,,,,
"Jun 22, 2001",46.99,,,,
"Jun 25, 2001",47.01,,,,
"Jun 26, 2001",47.02,,,,
"Jun 27, 2001",46.975,,,,
"Jun 28, 2001",47.01,,,,
"Jun 29, 2001",47.04,,,,
"Mar 01, 2001",46.53,,,,
